Id,Label,timeset,componentnumber,modularity_class
984,984,,0,16
985,985,,0,5
986,986,,0,9
987,987,,0,9
988,988,,0,13
989,989,,0,15
990,990,,0,15
991,991,,0,9
992,992,,0,21
993,993,,0,22
994,994,,0,9
995,995,,0,2
996,996,,0,4
997,997,,0,9
998,998,,0,9
999,999,,0,15
1000,1000,,0,2
1001,1001,,0,17
1002,1002,,0,5
1003,1003,,0,13
1004,1004,,0,13
1005,1005,,0,4
1006,1006,,0,8
1007,1007,,0,29
1008,1008,,0,29
1009,1009,,0,2
1010,1010,,0,16
1011,1011,,0,2
1012,1012,,0,22
1013,1013,,0,8
1014,1014,,0,13
1015,1015,,0,4
1016,1016,,0,5
1017,1017,,0,13
1018,1018,,0,5
1019,1019,,0,26
1020,1020,,0,2
1021,1021,,0,22
1022,1022,,0,22
1023,1023,,0,2
1024,1024,,0,22
1025,1025,,0,29
1026,1026,,0,5
1027,1027,,0,17
1028,1028,,0,8
1029,1029,,0,16
1030,1030,,0,9
1031,1031,,0,16
1032,1032,,0,9
1033,1033,,0,9
1034,1034,,0,9
1035,1035,,0,20
1036,1036,,0,9
1037,1037,,0,22
1038,1038,,0,21
1039,1039,,0,2
1040,1040,,0,3
1041,1041,,0,9
1042,1042,,26,0
1043,1043,,0,9
1044,1044,,0,9
1045,1045,,27,0
1046,1046,,0,4
1047,1047,,0,9
1048,1048,,0,15
1049,1049,,0,9
1050,1050,,0,2
1051,1051,,0,2
1052,1052,,0,2
1053,1053,,0,2
1054,1054,,0,2
1055,1055,,0,2
1056,1056,,0,2
1057,1057,,0,2
1058,1058,,0,21
1059,1059,,0,13
1060,1060,,0,9
1061,1061,,0,9
1062,1062,,0,4
1063,1063,,0,8
1064,1064,,0,15
1065,1065,,0,5
1066,1066,,0,21
1067,1067,,0,16
1068,1068,,0,16
1069,1069,,0,13
1070,1070,,0,8
1071,1071,,0,22
1072,1072,,0,13
1073,1073,,0,9
1074,1074,,0,2
1075,1075,,0,9
1076,1076,,0,16
1077,1077,,0,4
1078,1078,,0,15
1079,1079,,0,9
1080,1080,,0,22
1081,1081,,0,9
1082,1082,,0,16
1083,1083,,0,22
1084,1084,,0,9
1085,1085,,0,13
1086,1086,,0,29
1087,1087,,0,9
1088,1088,,0,13
1089,1089,,0,9
1090,1090,,0,9
1091,1091,,0,8
1092,1092,,0,9
1093,1093,,0,9
1094,1094,,0,9
1095,1095,,0,5
1096,1096,,0,16
1097,1097,,0,22
1098,1098,,0,5
1099,1099,,0,9
1100,1100,,0,8
1101,1101,,0,22
1102,1102,,0,2
1103,1103,,0,5
1104,1104,,0,15
1105,1105,,0,8
1106,1106,,0,2
1107,1107,,0,22
1108,1108,,0,4
1109,1109,,0,22
1110,1110,,0,16
1111,1111,,0,21
1112,1112,,0,9
1113,1113,,0,9
1114,1114,,0,8
1115,1115,,0,13
1116,1116,,0,21
1117,1117,,0,16
1118,1118,,0,16
1119,1119,,0,21
1120,1120,,0,22
1121,1121,,0,9
1122,1122,,0,9
1123,1123,,0,22
1124,1124,,0,4
1125,1125,,0,26
1126,1126,,0,8
1127,1127,,0,9
1128,1128,,0,25
1129,1129,,0,2
1130,1130,,0,22
1131,1131,,0,9
1132,1132,,0,16
1133,1133,,0,9
1134,1134,,0,13
1135,1135,,0,8
1136,1136,,0,9
1137,1137,,0,28
1138,1138,,0,9
1139,1139,,0,6
1140,1140,,0,31
1141,1141,,0,15
1142,1142,,0,5
1143,1143,,0,16
1144,1144,,0,29
1145,1145,,0,22
1146,1146,,0,16
1147,1147,,0,22
1148,1148,,0,15
1149,1149,,0,4
1150,1150,,0,8
1151,1151,,0,8
1152,1152,,0,2
1153,1153,,0,9
1154,1154,,0,5
1155,1155,,0,4
1156,1156,,0,5
1157,1157,,0,29
1158,1158,,0,9
1159,1159,,0,22
1160,1160,,0,9
1161,1161,,0,9
1162,1162,,0,22
1163,1163,,0,17
1164,1164,,0,8
1165,1165,,0,13
1166,1166,,0,17
1167,1167,,0,16
1168,1168,,0,9
1169,1169,,0,16
1170,1170,,0,9
1171,1171,,0,8
1172,1172,,0,9
1173,1173,,0,4
1174,1174,,0,22
1175,1175,,0,5
1176,1176,,0,2
1177,1177,,0,2
1178,1178,,0,9
1179,1179,,0,9
1180,1180,,28,0
1181,1181,,0,16
1182,1182,,0,5
1183,1183,,0,8
1184,1184,,0,9
1185,1185,,0,9
1186,1186,,0,22
1187,1187,,0,22
1188,1188,,0,16
1189,1189,,0,9
1190,1190,,0,15
1191,1191,,0,22
1192,1192,,0,16
1193,1193,,0,8
1194,1194,,0,13
1195,1195,,0,22
1196,1196,,0,9
1197,1197,,0,22
1198,1198,,0,9
1199,1199,,0,15
1200,1200,,0,22
1201,1201,,0,15
1202,1202,,0,9
1203,1203,,0,16
1204,1204,,0,2
1205,1205,,0,15
1206,1206,,0,2
1207,1207,,0,5
1208,1208,,0,9
1209,1209,,0,16
1210,1210,,0,29
1211,1211,,0,4
1212,1212,,0,5
1213,1213,,0,9
1214,1214,,0,29
1215,1215,,0,2
1216,1216,,0,9
1217,1217,,0,13
1218,1218,,0,13
1219,1219,,0,2
1220,1220,,0,9
1221,1221,,0,21
1222,1222,,0,5
1223,1223,,0,9
1224,1224,,0,29
1225,1225,,0,9
1226,1226,,0,9
1227,1227,,0,5
1228,1228,,0,9
1229,1229,,0,5
1230,1230,,0,1
1231,1231,,0,9
1232,1232,,0,2
1233,1233,,0,22
1234,1234,,0,29
1235,1235,,0,13
1236,1236,,0,2
1237,1237,,0,13
1238,1238,,0,22
1239,1239,,0,2
1240,1240,,0,9
1241,1241,,0,33
1242,1242,,0,9
1243,1243,,0,16
1244,1244,,0,5
1245,1245,,0,27
1246,1246,,0,17
1247,1247,,0,13
1248,1248,,0,5
1249,1249,,0,8
1250,1250,,0,9
1251,1251,,0,2
1252,1252,,0,13
1253,1253,,0,26
1254,1254,,0,18
1255,1255,,0,4
1256,1256,,0,2
1257,1257,,0,13
1258,1258,,0,2
1259,1259,,0,13
1260,1260,,0,22
1261,1261,,0,22
1262,1262,,0,5
1263,1263,,0,13
1264,1264,,0,13
1265,1265,,0,4
1266,1266,,0,5
1267,1267,,0,19
1268,1268,,0,9
1269,1269,,0,9
1270,1270,,0,13
1271,1271,,0,8
1272,1272,,0,5
1273,1273,,0,22
1274,1274,,0,8
1275,1275,,0,16
1276,1276,,0,2
1277,1277,,0,29
1278,1278,,0,15
1279,1279,,29,0
1280,1280,,0,16
1281,1281,,0,8
1282,1282,,0,8
1283,1283,,0,8
1284,1284,,0,22
1285,1285,,0,9
1286,1286,,0,22
1287,1287,,0,22
1288,1288,,0,5
1289,1289,,0,15
1290,1290,,0,9
1291,1291,,30,0
1292,1292,,31,0
1293,1293,,0,16
1294,1294,,0,22
1295,1295,,0,2
1296,1296,,0,15
1297,1297,,0,2
1298,1298,,0,2
1299,1299,,0,2
1300,1300,,0,2
1301,1301,,0,2
1302,1302,,0,13
1303,1303,,0,5
1304,1304,,0,13
1305,1305,,0,13
1306,1306,,0,13
1307,1307,,0,13
1308,1308,,0,9
1309,1309,,0,9
1310,1310,,0,9
1311,1311,,0,2
1312,1312,,0,2
1313,1313,,0,15
1314,1314,,0,15
1315,1315,,0,13
1316,1316,,0,15
1317,1317,,0,4
1318,1318,,0,4
1319,1319,,0,15
1320,1320,,0,15
1321,1321,,0,4
1322,1322,,0,15
1323,1323,,0,16
1324,1324,,0,0
1325,1325,,0,9
1326,1326,,0,4
1327,1327,,0,2
1328,1328,,0,15
1329,1329,,0,13
1330,1330,,0,18
1331,1331,,0,23
1332,1332,,0,13
1333,1333,,0,5
1334,1334,,32,0
1335,1335,,0,5
1336,1336,,0,5
1337,1337,,0,9
1338,1338,,0,16
1339,1339,,0,16
1340,1340,,0,16
1341,1341,,0,16
1342,1342,,0,16
1343,1343,,0,2
1344,1344,,0,21
1345,1345,,0,22
1346,1346,,0,13
1347,1347,,0,2
1348,1348,,0,2
1349,1349,,0,9
1350,1350,,0,2
1351,1351,,0,5
1352,1352,,0,2
1353,1353,,0,22
1354,1354,,0,2
1355,1355,,0,16
1356,1356,,0,13
1357,1357,,0,8
1358,1358,,0,8
1359,1359,,0,9
1360,1360,,0,15
1361,1361,,0,16
1362,1362,,0,2
1363,1363,,0,21
1364,1364,,0,8
1365,1365,,0,9
1366,1366,,0,15
1367,1367,,0,16
1368,1368,,0,2
1369,1369,,0,9
1370,1370,,0,13
1371,1371,,0,5
1372,1372,,0,22
1373,1373,,0,16
1374,1374,,0,16
1375,1375,,0,17
1376,1376,,0,22
1377,1377,,33,0
1378,1378,,0,29
1379,1379,,0,13
1380,1380,,0,16
1381,1381,,0,4
1382,1382,,0,2
1383,1383,,0,2
1384,1384,,0,16
1385,1385,,0,2
1386,1386,,0,5
1387,1387,,0,16
1388,1388,,0,21
1389,1389,,0,2
1390,1390,,0,4
1391,1391,,0,5
1392,1392,,0,2
1393,1393,,0,4
1394,1394,,0,15
1395,1395,,0,5
1396,1396,,0,8
1397,1397,,0,21
1398,1398,,0,4
1399,1399,,0,4
1400,1400,,0,16
1401,1401,,0,17
1402,1402,,0,13
1403,1403,,0,4
1404,1404,,0,9
1405,1405,,0,9
1406,1406,,0,8
1407,1407,,0,13
1408,1408,,0,5
1409,1409,,0,5
1410,1410,,0,15
1411,1411,,0,15
1412,1412,,0,9
1413,1413,,0,15
1414,1414,,0,15
1415,1415,,0,22
1416,1416,,0,2
1417,1417,,0,2
1418,1418,,0,15
1419,1419,,0,26
1420,1420,,0,5
1421,1421,,0,9
1422,1422,,0,15
1423,1423,,0,5
1424,1424,,0,29
1425,1425,,0,5
1426,1426,,0,9
1427,1427,,0,8
1428,1428,,0,8
1429,1429,,0,8
1430,1430,,0,4
1431,1431,,0,13
1432,1432,,0,14
1433,1433,,0,22
1434,1434,,0,16
1435,1435,,0,5
1436,1436,,0,4
1437,1437,,0,5
1438,1438,,0,29
1439,1439,,0,13
1440,1440,,0,26
1441,1441,,0,22
1442,1442,,0,16
1443,1443,,0,22
