,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
107,107,4.0,0.5868111252784729,"[(4, 0.5868111), (6, 0.10951697), (11, 0.20025223), (12, 0.09607649)]"
108,108,7.0,0.5206292271614075,"[(4, 0.18672505), (7, 0.5206292), (8, 0.28051195)]"
109,109,1.0,0.41580310463905334,"[(1, 0.4158031), (7, 0.41066098), (12, 0.16536461)]"
110,110,12.0,0.6328549385070801,"[(4, 0.35509893), (12, 0.63285494)]"
111,111,6.0,0.9873822927474976,"[(6, 0.9873823)]"
112,112,8.0,0.991513729095459,"[(8, 0.99151367)]"
113,113,10.0,0.9952840805053711,"[(10, 0.9952841)]"
114,114,11.0,0.7988314032554626,"[(2, 0.11841754), (10, 0.06495887), (11, 0.7988314)]"
115,115,8.0,0.5561678409576416,"[(8, 0.55616784), (10, 0.43498245)]"
116,116,14.0,0.9928725361824036,"[(14, 0.9928726)]"
117,117,9.0,0.7734137177467346,"[(9, 0.7734137), (12, 0.2134435)]"
118,118,7.0,0.9908463358879089,"[(7, 0.9908464)]"
119,119,3.0,0.9925295114517212,"[(3, 0.9925295)]"
120,120,13.0,0.9900652766227722,"[(13, 0.9900652)]"
121,121,6.0,0.9910224080085754,"[(6, 0.99102235)]"
122,122,2.0,0.9890133142471313,"[(2, 0.98901325)]"
123,123,3.0,0.991274893283844,"[(3, 0.9912749)]"
124,124,11.0,0.7783103585243225,"[(4, 0.052305456), (6, 0.16358407), (11, 0.77831036)]"
125,125,8.0,0.9911088347434998,"[(8, 0.99110883)]"
126,126,10.0,0.98204505443573,"[(10, 0.9820451)]"
127,127,9.0,0.7726198434829712,"[(9, 0.77261984), (12, 0.21693337)]"
128,128,12.0,0.9918811321258545,"[(12, 0.99188113)]"
129,129,0.0,0.7901938557624817,"[(0, 0.79019386), (8, 0.20313694)]"
130,130,14.0,0.9930299520492554,"[(14, 0.99302995)]"
131,131,12.0,0.6805945634841919,"[(4, 0.10824851), (9, 0.20048091), (12, 0.68059456)]"
